serial	id	type	title	body	signature_threshold	signature_count	signatures_needed	url	deadline	status	created	day1	day2	day3	day4	day5	day6	day7	day8	day9	day10	day11	day12	day13	day14	day15	day16	day17	day18	day19	day20	day21	day22	day23	day24	day25	day26	day27	day28	day29	day30	day31	day32	day33	day34	day35	day36	day37	day38	day39	day40	day41	day42	day43	day44	day45	day46	day47	day48	day49	day50	day51	day52	day53	day54	day55	day56	day57	day58	day59	day60	numpeaks	total
1	4e7b352b4bd5046c04000000	petition	Stop Animal Homelessness at Its Roots	" Every year in the United States, an estimated 6 to 8 million lost, abandoned, or unwanted dogs and cats enter animal shelters and nearly half of these animals‰ÛÓmany of them healthy, young, and adoptable‰ÛÓmust be euthanized because there are too many animals and not enough good homes.   This tragedy occurs because people don't spay and neuter their animals and because greedy breeders continue to churn out more puppies. Because all dogs and cats are precious and because no more animals need to be bred when so many others go without hope of being adopted, PETA is calling for a mandatory spay-and-neuter law until all dogs and cats in the United States have a home to call their own.   Sign the petition calling for a mandatory spay-and-neuter law to help end the animal overpopulation crisis.  "	5000	11786	0	https://petitions.whitehouse.gov/petition/stop-animal-homelessness-its-roots	30	Reviewed	1316697523	4111	2350	763	461	499	413	494	476	153	112	95	112	124	87	71	67	36	42	46	59	43	46	29	24	25	42	48	108	80	48	29	18	28	24	46	16	8	18	12	20	20	12	11	20	10	10	27	38	12	7	5	10	12	3	3	14	14	15	10	5	1	11541
6	4e7b35898d8c37d975000000	petition	Grant voters the ability to vote for the President of the United States by dissolving the electoral college.	"The elections of 1824, 1876, 1888, and 2000 produced an Electoral College winner who did not receive the plurality of the nationwide popular vote - that is, the American people did not get the President democracy should have selected.  Due to the way electoral votes are allocated, candidates have a strong incentive to focus their campaigns on ""swing"" states with many voters, such as Florida, and neglect states such as Texas which do not swing.   Due to necessary rounding errors when allocating votes, members of a sparsely populated state effectively accrue more voting power than members of a well-populated state.  This increases the electoral power of members of certain states while reducing it for others on an ongoing basis.  We beg our leaders to dissolve this system and let us vote."	5000	29311	0	https://petitions.whitehouse.gov/petition/grant-voters-ability-vote-president-united-states-dissolving-electoral-college	30	Reviewed	1316698213	32	2514	3855	1472	983	1122	736	504	382	272	240	251	316	256	177	163	68	221	203	163	148	129	114	75	58	253	272	205	462	305	121	65	80	73	370	231	122	327	185	315	376	123	135	141	77	68	304	529	109	66	50	34	49	56	91	256	138	191	115	71	1	20819
11	4e7b3623709f036e7a000002	petition	Reject the Keystone XL Pipeline	"The proposed Keystone XL pipeline threatens our water, our land, and our future. If permitted and constructed, the pipeline would further fuel the devastating extraction of tar sands in Alberta, and funnel highly toxic tar sands oil across the U.S.  Big Oil has exploited the Canadian tar sands to great profit, but the environment and indigenous communities have paid a steep price.  The threat that pipeline spills pose to our land and water supplies is simply unacceptable.   Additionally, tar sands oil produces three times as much carbon pollution as conventional oil. We have a moral obligation to prevent the expansion of the tar sands and move towards a 100% clean energy future.  Please reject the Keystone XL permit and invest in real solutions to our climate and energy crisis."	5000	7875	0	https://petitions.whitehouse.gov/petition/reject-keystone-xl-pipeline	30	Reviewed	1316697858	414	1222	847	529	485	451	446	375	351	133	99	107	143	86	74	56	30	79	68	90	85	60	52	29	13	57	50	49	54	45	29	20	36	37	151	91	40	90	89	90	66	50	42	45	25	37	83	84	31	30	12	4	8	14	21	58	13	0	0	0	1	7875
16	4e7b37f611fb9c1179000000	petition	eliminate the permanent division of retention/retirement pay of members of the Uniformed Services in a divorce	"The permanent division of retention/retirement pay of members of the Uniformed Services in a divorce as property under the authority of 10 U.S.C. 1408, the Uniformed Services Former Spouses Protection Act, PL 97-252, is inconsistent with prevalent family law concepts, unfairly singles out personnel of the uniformed services for unequal treatment of a divorce, is discriminatory on its face and in impact, is inconsistent with other federal laws, violates the constitutional concepts of federalism, and unconstitutionally interferes with Presidential and Congressional duties to provide for the Armed Forces. Such action by the President and Congress will reestablish the proper legal precedent as established by the U.S. Supreme Court in McCarty v. McCarty, 453 US 210 (1981)."	5000	2542	2458	https://petitions.whitehouse.gov/petition/eliminate-permanent-division-retentionretirement-pay-members-uniformed-services-divorce	30	Closed	1316698438	43	156	355	132	114	105	84	91	35	43	95	98	62	58	62	73	40	50	71	48	34	29	27	43	102	107	63	117	125	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2542
21	4e7b3978b25636027d000000	petition	Fund National Institutes of Health clinical trial of Low Dose Naltrexone as Multiple Sclerosis generic drug treatment.	"Low Dose Naltrexone (LDN) may be the most effective drug available today at preventing the disability caused by Multiple Sclerosis, yet most doctors do not know about LDN because it has not been approved by the FDA for Multiple Sclerosis.   Unfortunately, because generic Naltrexone has been without patent protection for many years, no pharmaceutical company will bear the expense of the clinical trials necessary for FDA approval of LDN‰Ûªs new special uses. It is now up to public institutions to seize the opportunity that LDN offers.  For more information visit:  www.LDNaware.org"	5000	754	4246	https://petitions.whitehouse.gov/petition/fund-national-institutes-health-clinical-trial-low-dose-naltrexone-multiple-sclerosis	30	Closed	1316704327	1	0	25	61	155	166	86	48	21	29	18	17	18	8	10	7	9	9	6	5	9	3	1	3	0	4	4	11	16	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	754
26	4e7b3ea34bd504e006000002	petition	Change US policy to confront the government of Sudan for ongoing mass atrocities and act to protect innocent civilians	"Recent events in Southern Kordofan, Blue Nile, Abyei and Darfur prove that the government of Sudan is continuing to use the same deadly methods that it has employed for years against its own people: attacking civilians on a broad scale with its army, militia and air force; limiting and blocking humanitarian assistance to millions displaced by attacks; and focusing US attention on negotiations that are not honored. It is time for significantly escalated action by the United States consistent with the Responsibility to Protect doctrine. Condemnations of new war crimes, crimes against humanity and genocide are necessary, but not sufficient.   8 years after the start of the Darfur genocide, it is time for escalated action by the US to stop the genocides and mass atrocities in Sudan."	5000	608	4392	https://petitions.whitehouse.gov/petition/change-us-policy-confront-government-sudan-ongoing-mass-atrocities-and-act-protect-innocent	30	Closed	1316702737	30	12	5	1	6	14	13	42	24	115	89	60	36	26	15	13	8	12	12	15	6	10	2	4	1	5	4	7	13	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	608
31	4e7b3ea711fb9c3d7a000004	petition	Fully Legalize Same-Sex Marriage Across The Nation	"Only 6 states, Connecticut, Iowa, Massachusetts, New Hampshire, New York and Vermont, plus the District of Columbia, currently legally allow same-sex couples to get married and have the same benefits as heterosexual couples.  And also, though these 6 states, plus D.C., allow same-sex marriage, federally, they are not recognized at all, whatsoever.  The LGBT community is the last group of people to not get  full rights in our nation, the great nation of freedom and opportunity.  We the people need to call on President Barack Obama to take a stand as our country's leader, and fully legalize same-sex marriage across the whole nation."	5000	17303	0	https://petitions.whitehouse.gov/petition/fully-legalize-same-sex-marriage-across-nation	30	Reviewed	1316700777	70	49	23	2218	1628	1763	847	516	406	266	223	231	298	227	160	129	56	208	165	113	127	117	84	53	46	193	221	250	390	264	109	69	80	70	251	158	146	315	156	294	309	101	131	133	54	72	257	336	102	59	36	43	35	43	79	296	112	155	96	61	1	15499
36	4e7b3f188d8c37d875000004	petition	Legalize and Regulate Marijuana in a Manner Similar to Alcohol.	"We the people want to know when we can have our ""perfectly legitimate"" discussion on marijuana legalization. Marijuana prohibition has resulted in the arrest of over 20 million Americans since 1965, countless lives ruined and hundreds of billions of tax dollars squandered and yet this policy has still failed to achieve its stated goals of lowering use rates, limiting the drug's access, and creating safer communities.  Isn't it time to legalize and regulate marijuana in a manner similar to alcohol? If not, please explain why you feel that the continued criminalization of cannabis will achieve the results in the future that it has never achieved in the past? "	5000	75057	0	https://petitions.whitehouse.gov/petition/legalize-and-regulate-marijuana-manner-similar-alcohol	30	Reviewed	1316700184	15866	10644	6125	3474	2819	2684	1787	2168	1955	742	654	784	1717	1040	730	580	313	552	484	388	374	335	351	271	229	2506	2662	4000	4940	1068	1281	260	255	177	474	316	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	75057
41	4e7b416e8d8c37da75000004	petition	"Legalize, regulate, and tax marijuana."	"There is an overwhelming lack of evidence that marijuana is a dangerous drug that should be classified with heroin or cocaine. Hundreds of thousands of otherwise peaceful, law abiding citizens are arrested each year for simple possession, at enormous cost to our society. Our prisons are too crowded, we need the money, and the regulated sale of marijuana would be safer for everybody. Americans would rather deal with shopkeepers than drug dealers when buying the marijuana they will consume regardless of its legal status. Prohibition failed in the '20s, and is failing us now."	5000	20104	0	https://petitions.whitehouse.gov/petition/legalize-regulate-and-tax-marijuana	30	Reviewed	1316701123	4277	3132	2050	1166	898	873	586	557	453	270	210	258	341	393	349	176	149	238	212	152	146	151	187	103	68	488	405	318	455	331	180	66	100	63	181	113	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	20104
46	4e7b421dcf436a2374000007	petition	EXTEND THE INVESTMENT TAX CREDIT GRANT (SECTION 1603) PROGRAM	"The 1603 Treasury Program allows owners of property, like biogas producing digesters, that would otherwise qualify for Internal Revenue Code Section 45 (production tax credit) or 48 (investment tax credit) to receive a cash grant from the U.S. Treasury in lieu of the credit and in the amount of a 30% investment tax credit. Within 1603 requirements, the ""commence construction"" deadline to qualify for these grants is approaching (12/31/11). We, The People, petition the Administration deadline (as well as the placed in service date) to 1/1/14, or better yet, eliminate the ""sunset provision"" altogether.  The 1603 Program creates jobs, stimulates private investment, contributes to a cleaner environment and enhances national security by producing renewable energy in the U.S."	5000	440	4560	https://petitions.whitehouse.gov/petition/extend-investment-tax-credit-grant-section-1603-program	30	Closed	1316701365	27	16	2	8	27	45	155	31	25	7	6	10	6	12	6	7	2	5	1	3	3	4	4	1	4	3	4	10	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	440
